,French,English
0,partie,part
1,histoire,history
2,seulement,only
3,police,police
4,pensais,thought
5,aide,help
6,demande,request
7,genre,kind
8,mois,month
9,frère,brother
10,laisser,let
11,mettre,to put
12,aucun,no
13,eux,them
14,ville,city
15,chaque,each
16,parlé,speak
17,arrivé,come
18,devrait,should
19,longtemps,long time
20,heures,hours
21,revoir,meet again
22,aucune,any
23,place,square
24,parle,speak
25,savais,knew
26,étaient,were
27,attention,Warning
28,voici,here is
29,pourrais,could
30,affaire,case
31,donner,give
32,type,type
33,leurs,their
34,donné,given
35,train,train
36,corps,body
37,yeux,eyes
38,façon,way
39,écoute,listen
40,trouve,find
41,premier,first
42,perdu,lost
43,main,hand
44,première,first
45,côté,side
46,pouvoir,power
47,vieux,old
48,sois,be
49,tiens,here
50,matin,morning
51,tellement,so much
52,enfant,child
53,venu,came
54,suite,after
55,pardon,sorry
56,venez,come
57,devant,in front of
58,vers,towards
59,minutes,minutes
60,demandé,request
61,chambre,bedroom
62,mis,placed
63,belle,beautiful
64,droit,law
65,aujourd'hui,today
66,mari,husband
67,cause,cause
68,enfin,finally
69,espère,hope
70,attendez,Wait
71,parti,left
72,nouvelle,new
73,arrêter,Stop
74,dirait,would say
75,terre,Earth
76,compte,account
77,donne,given
78,loin,far
79,fin,end
80,croire,believe
81,chérie,sweetheart
82,plutôt,rather
83,aura,will have
84,filles,girls
85,jouer,to play
86,bureau,office
